код;;ПРАЙС 01.10.2020;Количество;Гарантия;"Рекомендуемая
 розничная
 цена";Цена!
67586;;Видеокарта NVIDIA GeForce MSI GTX1660 SUPER (GTX 1660 SUPER VENTUS XS OC) 6Gb DDR5 HDMI+3xDP RTL;;24;;260
68456;;Видеокарта NVIDIA GeForce MSI GTX1660 SUPER (GTX 1660 SUPER VENTUS XS OCV1) 6Gb DDR5 HDMI+3xDP RTL;;24;;261,9
70876;;Видеокарта NVIDIA GeForce MSI GTX1660TI (GTX 1660 TI VENTUS XS 6G) 6Gb GDDR6 HDMI+3xDP RTL;;24;;292
65516;;Видеокарта NVIDIA GeForce Palit GTX1660 Dual (NE51660018J9-1161A) 6Gb DDR5 DVI+HDMI+xDP RTL;;24;;215
65514;;Видеокарта NVIDIA GeForce Palit GTX1660 Dual OC (NE51660S18J9-1161A) 6Gb DDR5 DVI+HDMI+xDP RTL;;24;;229
64792;;Видеокарта NVIDIA GeForce Palit GTX1660 StormX (NE51660018J9-165F) 6Gb DDR5 DVI+HDMI+xDP RTL;;24;;207
64791;;Видеокарта NVIDIA GeForce Palit GTX1660 StormX OC (NE51660S18J9-165F) 6Gb DDR5 DVI+HDMI+xDP RTL;;24;;210
67229;;Видеокарта NVIDIA GeForce Palit GTX1660 SUPER GamingPro (NE6166S018J9-1160A) 6Gb DDR6 DVI+HDMI+xDP RTL;;24;;246
67231;;Видеокарта NVIDIA GeForce Palit GTX1660 SUPER GamingPro OC (NE6166SS18J9-1160A) 6Gb DDR6 DVI+HDMI+xDP RTL;;24;;243
67228;;Видеокарта NVIDIA GeForce Palit GTX1660 SUPER StormX (NE6166S018J9-161F) 6Gb DDR6 DVI+HDMI+xDP RTL;;24;;231
67230;;Видеокарта NVIDIA GeForce Palit GTX1660 SUPER StormX OC (NE6166SS18J9-161F) 6Gb DDR6 DVI+HDMI+xDP RTL;;24;;231
64793;;Видеокарта NVIDIA GeForce Palit GTX1660TI DUAL (NE6166T018J9-1160A) 6Gb DDR6 DVI+HDMI+DP RTL;;24;;272
64433;;Видеокарта NVIDIA GeForce Palit GTX1660TI StormX (NE6166T018J9-161F) 6Gb DDR6 DVI+HDMI+3xDP RTL;;24;;268
65229;;Видеокарта NVIDIA GeForce Palit RTX 2060 DUAL (NE62060018J9-1160A) 6Gb DDR6 DVI+HDMI+DP RTL;;24;;329,5
65230;;Видеокарта NVIDIA GeForce Palit RTX 2060 DUAL OC (NE62060S18J9-1160A) 6Gb DDR6 DVI+HDMI+DP RTL;;24;;327,4
64795;;Видеокарта NVIDIA GeForce Palit RTX 2060 GAMING PRO OC (NE62060T18J9-1062A) 6Gb DDR6 DVI+HDMI+DP RTL;;24;;335,5
64381;;Видеокарта NVIDIA GeForce Palit RTX 2060 StormX (NE62060018J9-161F) 6Gb DDR6 DVI+HDMI+DP RTL;;24;;311,2
;PCI-E 8192MB;;;;;
66851;;Видеокарта AMD Radeon ASRock Phantom Gaming D Radeon RX580 8G OC (PG D RADEON RX580 8G OC) 8GB DDR5 HDMI, DVI, 3xDP RTL;;24;;192,8
71070;;Видеокарта AMD Radeon ASRock RX 5600XT Phantom Gaming D3 (RX5600XT PGD3 6GO) 6GB DDR6 HDMI, 3xDP RTL;;24;;341
71102;;Видеокарта AMD Radeon ASRock RX 5700XT Taichi X 8G OC+ (RX5700XT TCX 8GP) 8GB DDR6 2xHDMI, 4xDP RTL;;24;;490
67901;;Видеокарта AMD Radeon ASUS RX 5500XT (DUAL-RX5500XT-O8G-EVO) 8Gb DDR6 HDMI+3xDP RTL;;24;;228,2
70829;;Видеокарта AMD Radeon ASUS RX 5700 (ROG-STRIX-RX5700-O8G-GAMING) 8Gb GDDR6 HDMI+3xDP RTL;;24;;480
70741;;Видеокарта AMD Radeon ASUS RX 5700XT  (DUAL-RX5700XT-O8G-EVO) 8Gb GDDR6 HDMI+3xDP RTL;;24;;440,5
67426;;Видеокарта AMD Radeon ASUS RX 5700XT  (ROG-STRIX-RX5700XT-O8G-GAMING) 8Gb DDR6 HDMI+3xDP RTL;;24;;474
57957;;Видеокарта AMD Radeon ASUS RX 580 (DUAL-RX580-O8G) 8Gb DDR5 DVI+DualHDMI+DualDP RTL;;24;;220,6
67898;;Видеокарта AMD Radeon Gigabyte RX 5500XT (GV-R55XTOC-8GD) 8Gb DDR6 HDMI+3xDP RTL;;24;;221
66514;;Видеокарта AMD Radeon Gigabyte RX 5700XT (GV-R57XTGAMING OC-8GD) 8Gb DDR6 HDMI+3xDP RTL;;24;;446,9
52597;;Видеокарта AMD Radeon Gigabyte RX 580 (GV-RX580GAMING-8GD) 8Gb DDR5 DVI+HDMI+3xDP RTL;;24;;217
69228;;Видеокарта AMD Radeon Sapphire RX 5500XT PULSE (11295-01-20G) 8GB DDR6 HDMI, 3xDP RTL;;24;;211,9
67128;;Видеокарта AMD Radeon Sapphire RX 5700XT Nitro+ (11293-03-40G) 8GB DDR6 HDMI, 3xDP RTL;;24;;490
68263;;Видеокарта AMD Radeon Sapphire RX 580 Pulse (11265-67-20G) 8Gb DDR5 DVI+DualHDMI+DualDP RTL;;24;;210
60642;;Видеокарта AMD Radeon XFX RX 570 RS XXX Edition (RX-570P8DFD6) 8Gb DDR5 DVI+HDMI+3xDP RTL;;12;;179,9
60643;;Видеокарта AMD Radeon XFX RX 580 GTS XXX Ed. OC (RX-580P8DFD6) 8Gb DDR5 DVI-D+HDMI+DPx3 RTL;;12;;200
70208;;Видеокарта AMD Radeon XFX RX 590 Fatboy Core Edition (RX-590P8DLD6) 8Gb OC+ DDR5 DVI-D+HDMI+DPx3 RTL;;12;;210
68030;;Видеокарта NVIDIA GeForce ASUS RTX 2060 SUPER (DUAL-RTX2060S-O8G-EVO-V2) 8Gb DDR6 DualHDMI, DualDP+DVI RTL;;24;;436
67523;;Видеокарта NVIDIA GeForce ASUS RTX 2060 SUPER (ROG-STRIX-RTX2060S-8G-EVO-GAMING) 8Gb DDR6 DualHDMI, DualDP+USB Type-C RTL;;24;;470
70469;;Видеокарта NVIDIA GeForce ASUS RTX 2060 SUPER (ROG-STRIX-RTX2060S-A8G-EVO-GAMING) 8Gb DDR6 DualHDMI, DualDP+USB Type-C RTL;;24;;480
70468;;Видеокарта NVIDIA GeForce ASUS RTX 2060 SUPER (ROG-STRIX-RTX2060S-O8G-EVO-GAMING) 8Gb DDR6 DualHDMI, DualDP+USB Type-C RTL;;24;;486
70979;;Видеокарта NVIDIA GeForce ASUS RTX 2060 SUPER (ROG-STRIX-RTX2060S-O8G-EVO-V2-GAMING) 8Gb DDR6 DualHDMI, DualDP+USB Type-C RTL;;24;;487
66555;;Видеокарта NVIDIA GeForce ASUS RTX 2070 SUPER (DUAL-RTX2070S-O8G-EVO) 8Gb DDR6 DualHDMI, DualDP+DVI RTL;;24;;545
66475;;Видеокарта NVIDIA GeForce ASUS RTX 2070 SUPER (ROG-STRIX-RTX2070S-8G-GAMING) 8Gb DDR6 DualHDMI, DualDP+DVI RTL;;24;;589
68266;;Видеокарта NVIDIA GeForce ASUS RTX 2070 SUPER (ROG-STRIX-RTX2070S-O8G-GAMING) 8Gb DDR6 DualHDMI, DualDP+DVI RTL;;24;;615
70632;;Видеокарта NVIDIA GeForce ASUS RTX 2080  SUPER (DUAL-RTX2080S-8G-EVO-V2) 8Gb DDR6 DVI+DualHDMI+DualDP RTL;;24;;765
66556;;Видеокарта NVIDIA GeForce ASUS RTX 2080  SUPER (DUAL-RTX2080S-O8G-EVO-V2) 8Gb DDR6 DVI+DualHDMI+DualDP RTL;;24;;770
67241;;Видеокарта NVIDIA GeForce ASUS RTX 2080  SUPER (ROG-STRIX-RTX2080S-A8G-GAMING) 8Gb DDR6 DVI+DualHDMI+DualDP RTL;;24;;725
66146;;Видеокарта NVIDIA GeForce Gigabyte RTX 2060 SUPER (GV-N206SWF2OC-8GD) 8Gb DDR6 HDMI+3xDP RTL;;24;;408
66513;;Видеокарта NVIDIA GeForce Gigabyte RTX 2070 SUPER (GV-N207SGAMING OC-8GD) 8Gb DDR6 HDMI+3xDP+SLI RTL;;24;;535,5
68060;;Видеокарта NVIDIA GeForce Gigabyte RTX 2070 SUPER (GV-N207SWF3-8GD) 8Gb DDR6 HDMI+3xDP+SLI RTL;;24;;525
66689;;Видеокарта NVIDIA GeForce Gigabyte RTX 2070 SUPER (GV-N207SWF3OC-8GD) 8Gb DDR6 HDMI+3xDP+SLI RTL;;24;;524,7
69231;;Видеокарта NVIDIA GeForce Gigabyte RTX 2070 SUPER (N207SGAMINGOC WH-8GD) 8Gb DDR6 HDMI+3xDP+SLI RTL WHITE;;24;;542
66209;;Видеокарта NVIDIA GeForce Gigabyte RTX 2080 SUPER (GV-N208SAORUS-8GC) 8Gb DDR6 HDMI+3xDP+USB Type-C+SLI RTL;;24;;786
66203;;Видеокарта NVIDIA GeForce Gigabyte RTX 2080 SUPER (GV-N208SGAMING OC-8GC) 8Gb DDR6 HDMI+3xDP+USB Type-C+SLI RTL;;24;;747
66402;;Видеокарта NVIDIA GeForce Gigabyte RTX 2080 SUPER (GV-N208SWF3OC-8GD) 8Gb DDR6 HDMI+3xDP+USB Type-C+SLI RTL;;24;;729
66205;;Видеокарта NVIDIA GeForce MSI RTX 2060 SUPER (RTX 2060 SUPER GAMING X) 8Gb DDR6 HDMI+3xDP RTL;;24;;467
70334;;Видеокарта NVIDIA GeForce MSI RTX 2070 SUPER (RTX 2070 SUPER VENTUS GP OC) 8Gb DDR6 HDMI+3xDP;;24;;535
66208;;Видеокарта NVIDIA GeForce MSI RTX 2080 SUPER (RTX 2080 SUPER GAMING X TRIO) 8Gb DDR6 HDMI+3xDP;;24;;815
66303;;Видеокарта NVIDIA GeForce Palit RTX 2060 SUPER GP (NE6206S019P2-1062A) 8Gb DDR6 HDMI+3xDP;;24;;406,7
66247;;Видеокарта NVIDIA GeForce Palit RTX 2060 SUPER GP OC (NE6206SS19P2-1062A) 8Gb DDR6 HDMI+3xDP;;24;;410,5
66246;;Видеокарта NVIDIA GeForce Palit RTX 2060 SUPER JS (NE6206ST19P2-1061J) 8Gb DDR6 HDMI+3xDP;;24;;439,8
67743;;Видеокарта NVIDIA GeForce Palit RTX 2060 SUPER JS LE (NE6206S019P2-1061J) 8Gb DDR6 HDMI+3xDP;;24;;426,8
66304;;Видеокарта NVIDIA GeForce Palit RTX 2070 SUPER GR (NE6207S020P2-1040G) 8Gb DDR6 HDMI+3xDP;;24;;540
67420;;Видеокарта NVIDIA GeForce Palit RTX 2070 SUPER JS LE (NE6207S019P2-1040J) 8Gb DDR6 HDMI+3xDP;;24;;524,1
69325;;Видеокарта NVIDIA GeForce Palit RTX 2080 SUPER GamingPro (NE6208S019P2-180T) 8Gb DDR6 HDMI+3xDP+USB Type-C+SLI RTL;;24;;696,2
71038;;Видеокарта NVIDIA Quadro Leadtek P4000 (900-5G410-2550-000) GDDR5 8GB/256bit, 1792 CUDA® Cores, PCI-E 3.0 x16, 4xDP, Cooler, Single Slot (2xDP-DVI-D Cables, 8 pin Power Cable, Stereo Connector Bracket included);;24;;874
66347;;Видеокарта NVIDIA Quadro PNY RTX 4000 (VCQRTX4000-BSP) GDDR6 8GB/256bit, 2304 CUDA Cores, 288 Tensor Cores, 36 RT Cores, PCI-E 3.0 x16, 3xDP, Single Slot (DP to DVI Adapter, DP to HDMI Adapter, USB-C to DP Adapter incuded);;24;;980
;Корпус;;;;;
;ATX;;;;;
59380;;Корпус ATX CROWN (CMC-C503 CM-PS500office) Black 500W (24+2x4пин) Miditower ;;9;;32,5
63034;;Корпус ATX D-computer ATX-7003B БП 500W 120mm ;;6;;27
63035;;Корпус ATX D-computer ATX-881B БП 500W 120mm;;6;;24
70902;;Корпус ATX InterTech K-03 SL-500G Midi Tower 500W USB 2.0/3.0 (fan 120 mm);;0;;27
70903;;Корпус ATX InterTech K-12 SL-500A Midi Tower 500W USB2.0/3.0 (fan 120 mm);;0;;27
2603;;Корпус ATX InWin EC021 450W Black, 2*USB, Audio, 24+4, 6-pin, 2*SATA, Midi Tower;;6;;56,8
62129;;Корпус ATX INWIN/Powerman BA833 600W Black, Midi Tower;;12;;55
63731;;"Корпус ATX Vicsone F3X 450W (VP-450)  USB 3.0 (ТОЛЬКО В СОСТАВЕ ПЭВМ N-Tech)
";;12;;24
57404;;Корпус ATX Vicsone F3X 450W (VP-450) (24+4pin, 2xMolex. 2xSata, 120mm) (ТОЛЬКО В СОСТАВЕ ПЭВМ N-Tech);;12;;23
65353;;Корпус ATX Vicsone F3X 500W (VP-500s)  (ТОЛЬКО В СОСТАВЕ ПЭВМ N-Tech);;12;;26,5
65354;;Корпус ATX Vicsone F3X 550W (VP-550s)  (ТОЛЬКО В СОСТАВЕ ПЭВМ N-Tech);;12;;32,5
63736;;Корпус ATX Vicsone F9X 450W (VP-450)  (ТОЛЬКО В СОСТАВЕ ПЭВМ N-Tech);;12;;23,5
65352;;Корпус ATX Vicsone F9X 550W (VP-550s)  (ТОЛЬКО В СОСТАВЕ ПЭВМ N-Tech);;12;;32,5
19879;;Корпус ATX Vicsone V3S 450W (VP-450) 2xUSB2.0, Audio (24+4pin, 2xMolex. 2xSata, 120mm);;12;;23
62781;;Корпус ATX Vicsone V3S 500W (VP-500s) 2xUSB2.0, Audio (24+4pin, 2xMolex. 2xSata, 120mm);;12;;28
67868;;Корпус ATX Vicsone V3S 550W (VP-550s) 2xUSB2.0, Audio (24+4+6pin, 3xMolex, 3xSata, 120mm);;12;;32,5
52805;;Корпус ATX Vicsone V7 450W (VP-450) 2xUSB2.0, Audio (24+4pin, 2xMolex, 2xSata, 120mm);;12;;23
45157;;Корпус ATX Vicsone V7 500W (VP-500s) 2xUSB2.0, Audio (24+4pin, 2xMolex, 2xSata, 120mm);;12;;28
45158;;Корпус ATX Vicsone V7 550W (VP-550s) 2xUSB2.0, Audio (24+4+6pin, 3xMolex, 3xSata, 120mm);;12;;32,5
;ATX/mATX Без БП;;;;;
70430;;Корпус ATX Без БП Aerocool  Aero One Frost-G-BK-v1 Black;;12;;50
70431;;Корпус ATX Без БП Aerocool Aero One Frost-G-WT-v1 White;;12;;50
70432;;Корпус ATX Без БП Aerocool Aero One-G-BK-v1 Black;;12;;39
47659;;Корпус ATX Без БП Aerocool Aero-500 Black Miditower;;12;;29,8
45611;;Корпус ATX Без БП Aerocool Aero-500 White-C с окном Miditower ;;12;;36,9
34912;;Корпус ATX Без БП Aerocool Aero-500 Window Black;;12;;29,7
70425;;Корпус ATX Без БП Aerocool Bolt (Bolt-A-BK-v1) Black;;12;;31
42330;;Корпус ATX Без БП Aerocool Cruisestar Advance;;12;;26
38160;;Корпус ATX Без БП Aerocool CS-1101 Black;;12;;21,9
68435;;Корпус ATX Без БП Aerocool CS-1103 Black;;12;;16,9
57302;;Корпус ATX Без БП Aerocool CyberX Black Miditower ;;12;;24,8
23594;;Корпус ATX Без БП Aerocool Cyclops Advance Black Window;;12;;27
65214;;Корпус ATX Без БП Aerocool Cyclops Black Edition Window;;12;;23
65217;;Корпус ATX Без БП Aerocool Cylon BG;;12;;38
61662;;Корпус ATX Без БП Aerocool Cylon Black;;12;;31
70827;;Корпус ATX Без БП Aerocool Cylon White;;12;;32
45928;;Корпус ATX Без БП Aerocool DS 230 Miditower ;;12;;65
70804;;Корпус ATX Без БП AeroCool Flo Saturn FRGB-G-BK-v1 BLACK;;12;;80
70805;;Корпус ATX Без БП AeroCool Flo Saturn FRGB-G-WT-V1 WHITE;;12;;80
70808;;Корпус ATX Без БП AeroCool Glider Cosmo-G-BK-v1;;12;;28
66656;;Корпус ATX Без БП Aerocool Glo AURA Black;;12;;69
65216;;Корпус ATX Без БП Aerocool Glo Black;;12;;65
71050;;Корпус ATX без БП Aerocool Hive-G-BK-v2 Black ATX 4x120mm 2x140mm 1xUSB2.0 2xUSB3.0;;12;;42
67084;;Корпус ATX Без БП Aerocool Quartz REVO (4x120mm, ARGB подсветка, 2xUSB2.0 1xUSB3.0 audio);;12;;62
62468;;Корпус ATX Без БП AeroCool Quartz RGB;;12;;55,6
67090;;Корпус ATX Без БП Aerocool Rift BG Black-C с окном Tempered Glass, Miditower, Card Reader  ;;12;;33,5
65815;;Корпус ATX Без БП Aerocool Rift Black-C с окном Miditower, Card Reader  ;;12;;30,5
58124;;Корпус ATX Без БП Aerocool SI-5100 Black Miditower ;;12;;25,2
63156;;Корпус ATX Без БП Aerocool SI-5101 Black (1x92mm 2xUSB2.0 1xUSB3.0 audio);;12;;20,3
65218;;Корпус ATX Без БП Aerocool SI-5200 Black;;12;;23,8
70809;;Корпус ATX Без БП Aerocool SI-5200 Frost-A-BK-v1 Black;;12;;34
69164;;Корпус ATX Без БП Aerocool SI-5200 RGB-A-BK-v1 Black с окном , RGB;;12;;38,5
70807;;Корпус ATX Без БП AeroCool Split Split-A-BK-v1;;12;;22,5
67085;;Корпус ATX Без БП Aerocool Streak-A-BK-v1 Black (1x80mm 2xUSB2.0 1xUSB3.0 audio, RGB, Нет отсека для привода!);;12;;21
70806;;Корпус ATX Без БП Aerocool Tomahawk-A-BK-v3 Black ;;12;;25,5
65219;;Корпус ATX Без БП Aerocool Tomahawk-S-BK-v4 Black (Нет отсека для привода!);;12;;17,6
70803;;Корпус ATX Без БП AeroCool Tor Pro (Tor Pro-G-BK-v1);;12;;90
23613;;Корпус ATX Без БП AeroCool V3X Advance Black Edition Black;;12;;23,5
9075;;Корпус ATX Без БП AeroCool V3X Black Edition Black 2xUSB+Audio;;12;;22,6
9076;;Корпус ATX Без БП AeroCool V3X Devil Red Edition Black 2xUSB+Audio;;12;;21,8
9077;;Корпус ATX Без БП AeroCool V3X Evil Blue Edition Black 2xUSB+Audio;;12;;21,8
69908;;Корпус ATX Без БП ASUS GT301 TUF GAMING Black (ATX, 2xUSB 3.1 Gen1,  RGB подсветка, вентиляторы 120мм, стеклянная боковая панель);;0;;106
68272;;Корпус ATX Без БП ASUS GX601 ROG STRIX HELIOS (EATX, Type-C, 4xUSB 3.1 Gen1,  RGB подсветка, вентиляторы 4*140мм,LED , стеклянная боковая панель);;0;;289
67300;;Корпус ATX без БП be quiet! Pure Base 500 BG034 (Black);;12;;67
70365;;Корпус ATX без БП be quiet! Pure Base 500 BG035 (White) ;;12;;71
70392;;Корпус ATX без БП be quiet! Pure Base 500 BGW34 (Black) , с окном ;;12;;78,5
70351;;Корпус ATX без БП be quiet! Pure Base 500 BGW35 (White) , с окном ;;12;;83,5
67616;;Корпус ATX без БП be quiet! Pure Base 500 BGW36 (Gray) , с окном ;;12;;83,5
70646;;Корпус ATX без БП be quiet! Pure Base 500DX BGW37 (Black);;36;;99
70895;;Корпус ATX без БП be quiet! Pure Base 500DX BGW38 (White);;36;;100
70376;;Корпус ATX без БП be quiet! Pure Base 600 BG021 (Black);;12;;83
70235;;Корпус ATX Без БП be quiet! Pure Base 600 BGW21 (Black) , с окном;;12;;89,9
70237;;Корпус ATX без БП be quiet! Silent Base 601 BGW26 (Black) , с окном;;12;;128,5
66150;;Корпус ATX Без БП Chieftec Scorpion II GL-02B-OP (ATX, 2xUSB 3.0, USB 3.1 Gen1,  RGB + пульт, 0.6мм сталь, Закаленное стекло) Black  ;;12;;73
70466;;Корпус ATX Без БП Chieftec Scorpion III GL-03B-OP (ATX, 2xUSB 3.0, USB 3.1 Gen1,  RGB + пульт, 0.6мм сталь, Закаленное стекло) Black  ;;0;;77
70724;;Корпус ATX Без БП Cooler Master MasterCase MC500P [MCM-M500P-KG5N-S00];;0;;110
67788;;Корпус ATX Без БП Deepcool MATREXX 50 (DP-ATX-MATREXX50) без БП;;0;;41,5
68101;;Корпус ATX Без БП Deepcool MATREXX 55 MESH (DP-ATX-MATREXX55-MESH) Black E-ATX без БП ;;0;;46,9
68280;;Корпус ATX Без БП Deepcool MATREXX 55 V3 ADD-RGB с окном (DP-ATX-MATREXX55V3-AR), Black E-ATX без БП;;0;;49
69757;;Корпус ATX Без БП Enermax iVektor White  (ECA3311A-W);;0;;95
69236;;Корпус ATX Без БП Fractal Design Define R6 Tempered Glass USB-C FD-CA-DEF-R6C-BK-TGL Black;;0;;169,5
58496;;Корпус ATX Без БП Fractal Design MESHIFY C DARK TG (FD-CA-MESH-C-BKO-TG) Miditower ;;0;;102
17492;;Корпус ATX Без БП InWin EC022 Black;;0;;25,8
37477;;Корпус ATX Без БП InWin EC027 (EC027.UHA.B) Black;;0;;26
67250;;Корпус ATX Без БП NZXT H510 CA-H510B-BR Black\Red;;0;;78
67249;;Корпус ATX Без БП NZXT H510 CA-H510B-W1 White;;0;;78,2
67252;;Корпус ATX Без БП NZXT H510 Elite CA-H510E-W1 Black/White;;0;;154,8
67255;;Корпус ATX Без БП NZXT H710 CA-H710B-W1 Black/White;;0;;146,8
70572;;Корпус ATX без БП PHANTEKS Eclipse P300 Tempered Glass, Black, RGB LED иллюминация, Full Metal, Mid-Tower PH-EC300PTG-BK (Aura Sync,MSI Mystic Light,Gigabyte RGB Fusion ready);;12;;62
70571;;Корпус ATX без БП PHANTEKS Eclipse P300A Tempered Glass, Black, Mid-Tower PH-EC300ATG-BK;;12;;59
70573;;Корпус ATX без БП PHANTEKS Eclipse P400A Black, Airflow Edition, боковая панель Tempered Glass, Mid-Tower PH-EC400ATG-BK;;12;;76
63853;;Корпус ATX Без БП Vicsone F3X (ТОЛЬКО В СОСТАВЕ ПЭВМ N-Tech);;12;;14
45342;;Корпус ATX Без БП Vicsone V7 Black 2xUSB2, Audio;;0;;14,5
63556;;Корпус ATX Без БП Zalman i3 Black с окном  Miditower;;0;;42,6
64244;;Корпус ATX Без БП Zalman i3 EDGE Black с окном  Miditower;;0;;42,4
63841;;Корпус ATX Без БП Zalman K1 Black Window, RGB, USB 3.0;;0;;57,5
59294;;Корпус ATX Без БП Zalman N2 с окном Miditower ;;0;;31,5
59295;;Корпус ATX Без БП Zalman N3 с окном Miditower ;;0;;36,8
64702;;Корпус ATX Без БП Zalman S1 Black с окном;;0;;33,39
64703;;Корпус ATX Без БП Zalman S2 Black с окном;;0;;30,7
64704;;Корпус ATX Без БП Zalman S3 Black с окном;;0;;31
68622;;Корпус ATX Без БП Zalman S4 Black с окном;;0;;31,8
70987;;Корпус ATX Без БП Zalman S4 Plus Black с окном;;0;;31,8
68623;;Корпус ATX Без БП Zalman S5 Black с окном;;0;;50,4
68624;;Корпус ATX Без БП Zalman S5 White с окном;;0;;50,5
65180;;Корпус ATX Без БП Zalman T6 Black USB3.0;;0;;22,3
70989;;Корпус ATX Без БП Zalman T7 Black USB3.0;;0;;22,3
36395;;Корпус ATX Без БП Zalman Z1 Neo Black с окном;;0;;35,5
11718;;Корпус ATX Без БП Zalman Z3 Black USB 3.0;;0;;39,6
11717;;Корпус ATX Без БП Zalman Z3 Plus Black Window USB 3.0;;0;;42,5
65181;;Корпус ATX Без БП Zalman Z7 Neo Black с окном;;0;;60,8
34958;;Корпус ATX Без БП Zalman Z9 NEO Black;;0;;63
55695;;Корпус ATX Без БП Zalman Z9 NEO PLUS Black Miditower;;0;;64,8
55694;;Корпус ATX Без БП Zalman Z9 NEO PLUS White Miditower;;0;;64,8
38188;;Корпус ATX Без БП Zalman Z9 NEO White;;0;;63,5
70990;;Корпус mATX Без БП Zalman M3 Black USB3.0;;0;;22,3
70991;;Корпус mATX Без БП Zalman M3 Plus Black USB3.0;;0;;22,3
70427;;Корпус MicroATX Без БП Aerocool Aero One Mini Frost-G-BK-v1 Black;;12;;45
70428;;Корпус MicroATX Без БП Aerocool Aero One Mini Frost-G-WT-v1 White;;12;;45
70429;;Корпус MicroATX Без БП Aerocool Aero One Mini-G-BK-v1 Black;;12;;34
70426;;Корпус MicroATX Без БП Aerocool Bolt Mini-A-BK-v1 Black;;12;;30
65215;;Корпус MicroATX Без БП Aerocool CS-100 Black;;12;;18,2
65220;;Корпус MicroATX Без БП Aerocool CS-102 Black;;12;;18,2
63784;;Корпус MicroATX Без БП Aerocool Cylon Mini Black;;12;;26,5
70810;;Корпус MicroATX Без БП Aerocool Cylon Mini White (Acrylic Window);;12;;26,5
16031;;Корпус MicroATX Без БП AeroCool Qs-180 Black;;12;;25
16032;;Корпус MicroATX Без БП AeroCool Qs-182 Black;;12;;23
39939;;Корпус MicroATX Без БП Aerocool Qs-240 (нет отсека для привода);;12;;26
51114;;Корпус MicroATX Без БП Cooler Master Elite342 (RC-342-KKN6-U3) Black-Black Miditower;;0;;35,5
17504;;Корпус MicroATX Без БП InWin EN022 Black 2*USB, Audio (EN022.UHA.B);;0;;23,9
38176;;Корпус MicroATX Без БП SilverStone Milo ML03 SST-ML03B Black;;0;;77,8
69758;;Корпус MicroATX Без БП SilverStone Sugo SG06 Black (SST-SG06BB-LITE) ;;0;;65
15356;;Корпус MicroATX Без БП Zalman ZM-T1 Plus Black USB3.0;;0;;26,1
12974;;Корпус MicroATX Без БП Zalman ZM-T2 Plus Black USB3.0;;0;;25,9
11847;;Корпус MicroATX Без БП Zalman ZM-T3 Black USB3.0;;0;;24,7
12164;;Корпус MicroATX Без БП Zalman ZM-T4 Black USB3.0;;0;;26,3
;mATX;;;;;
23619;;Корпус MicroATX Aerocool Cs-101 400W (24+2x4пин) (Minitower, блок питания 400 Вт, для плат micro-ATX, 1 вентилятор, 2xUSB 3.0, цвет черный);;12;;40,7
23872;;Корпус MicroATX Inwin ENR022 400W Black (24+4+6пин) (6100468/6084964);;6;;48,4
50907;;Корпус MicroATX Powerman EL501 300W (24+4пин) Minitower;;9;;45
69720;;Корпус MicroATX Vicsone M2X 450W Black (VP-450) 2xUSB2.0, Audio (24+4pin, 2xMolex, 2xSata, 120mm) (ТОЛЬКО В СОСТАВЕ ПЭВМ N-Tech);;12;;23
69717;;Корпус MicroATX Vicsone M4X 450W Black (VP-450) 2xUSB2.0, Audio (24+4pin, 2xMolex, 2xSata, 120mm);;12;;23
69721;;Корпус MicroATX Vicsone M4X 500W Black (VP-500s) 2xUSB2.0, Audio (24+4pin, 2xMolex, 2xSata, 120mm);;12;;26,5
69719;;Корпус MicroATX Vicsone M6X 450W Black (VP-450) 2xUSB2.0, Audio (24+4pin, 2xMolex, 2xSata, 120mm) (ТОЛЬКО В СОСТАВЕ ПЭВМ N-Tech);;12;;23
69722;;Корпус MicroATX Vicsone M6X 500W Black (VP-500s) 2xUSB2.0, Audio (24+4pin, 2xMolex, 2xSata, 120mm) (ТОЛЬКО В СОСТАВЕ ПЭВМ N-Tech);;12;;26,5
;Mini ITX;;;;;
6705;;Корпус Mini-ITX Inwin BP655BL 200W Black;;12;;53,4
62253;;Корпус Mini-ITX Powerman PS201 300W (24+4пин) (6125688);;9;;42,5
42105;;Корпус Mini-ITX Без БП Fractal Design Define Nano S (FD-CA-DEF-NANO-S-BK) Black;;12;;69
67256;;Корпус Mini-ITX Без БП NZXT H210 CA-H210B-B1 черный 3x120mm 2xUSB3.0;;0;;83
67257;;Корпус Mini-ITX Без БП NZXT H210 CA-H210B-BR черный/красный 3x120mm 2xUSB3.0;;0;;83
;Блок Питания;;;;;
62031;;БП Aerocool 350W VX-350 PLUS (24+4+4pin) 120mm fan 2xSATA RTL;;12;;16
62032;;БП Aerocool 400W VX-400 PLUS (24+4+4pin) 120mm fan 2xSATA RTL;;12;;20,2
67088;;БП Aerocool 450W ECO-450W (24+4+4pin) 120mm fan 2xSATA RTL;;12;;18,9
62033;;БП Aerocool 450W VX-450 PLUS (24+4+4pin) 120mm fan 2xSATA RTL;;12;;22
67089;;БП Aerocool 500W ECO-500W (24+4+4pin) 120mm fan 2xSATA RTL;;12;;22
62371;;БП Aerocool 500W KCAS-500W PLUS (ATX2.3, 24+8-pin, 2x6/8-pin, 4xHDD, 1xFDD, 7xSATA, 120mm, 80+ Bronze) RTL;;12;;37,1
